,Unnamed: 0,gene,area.24_mean,area.24_std,area.24_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.48_mean,area.48_std,area.48_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count
0,0,0,249.0,62.39257434449498,13.0,0.3940465778223331,0.027353490752456,13.0,255.86666666666667,122.25200358665856,15.0,0.5480734234683733,0.0492021590187285,14.0,-0.1093943994157393,0.4516710516192875,12.0,0.3794099045670414,0.4167202530293786,12.0,-0.5525366858610902,1.064483394229354,14.0,0.201622517977093,0.7972583940418053,13.0
1,1,AAC1,255.75,22.954665466232928,4.0,0.4080701828908732,0.0105076486630729,4.0,267.75,26.550266790875504,4.0,0.562181865257641,0.0057419783452126,4.0,0.6378075645617532,0.381354410151037,4.0,0.6478701702446332,0.2609606067488516,4.0,0.5243019972538971,0.400504086124841,4.0,0.486989726256794,0.1304672821744844,4.0
2,2,AAC3,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3,3,AAD3,208.33333333333331,79.10962857537211,3.0,,,0.0,233.33333333333331,104.35675988326456,3.0,0.4755257270402761,0.1537767222394082,3.0,-0.1016284582229918,1.255485950281491,3.0,,,0.0,0.0834376279334871,1.484616525695027,3.0,-1.000939466741732,2.5264946094131475,3.0
4,4,AAD4,173.75,63.53148825582476,4.0,0.3721465173881235,0.0369569806890678,4.0,225.66666666666663,18.50225211517056,3.0,0.5459884583008646,0.0279725105292492,4.0,-0.6504730160322095,1.0082576842042308,4.0,-0.0487768073435668,0.5758159467558251,4.0,-0.025631109377452,0.2632196446448226,3.0,0.1567371185170366,0.4595779909645489,4.0
5,5,AAD6,256.0,19.442222095223578,4.0,0.4189731766586145,0.0055212433231296,3.0,274.5,17.823205847059803,4.0,0.5654417933291542,0.00704781005918,4.0,0.6548512696489902,0.3085520324438049,4.0,0.6808157253393374,0.0860248833129818,3.0,0.6690893261030956,0.253559289987621,4.0,0.4763482102891969,0.1157929097679965,4.0
6,6,AAH1,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
7,7,AAP1,259.0,25.49509756796392,4.0,0.3435249976126435,0.065421228114968,4.0,297.6666666666667,7.767453465154037,3.0,0.5283575918805944,0.0437587082969487,4.0,0.9369746585933378,0.4807646686408485,4.0,-0.2009713553788941,1.108029194231258,4.0,0.8492127550482278,0.4883801922334283,4.0,0.02966727051135,0.7388590775528837,4.0
8,8,AAT1,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
9,9,AAT2,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
10,10,ABF2,190.0,9.83192080250175,4.0,0.5315844398540673,0.0069703687376159,4.0,192.25,20.05617112013158,4.0,0.5950974283150282,0.004549504282767,4.0,-0.4657953003900779,0.2736772674420962,4.0,2.8656931888104697,0.2911375290147442,4.0,-0.7099086410606639,0.2760520607011857,4.0,1.1448792883156051,0.0992691163651873,4.0
11,11,ABM1,242.66666666666663,15.695009822658069,3.0,0.3956687666486298,0.012673311806169,3.0,261.0,19.672315572906,3.0,0.5545551298591961,0.0071726794824536,3.0,0.4432485485659183,0.2490830089424991,3.0,0.3177165039396108,0.1974591782158126,3.0,0.4770335060555721,0.2798653851546761,3.0,0.297484360346273,0.1178444681585458,3.0
12,12,ABP1,280.6666666666667,7.571877794400373,3.0,0.4089124502447199,0.0082732006018029,3.0,300.0,9.643650760992957,3.0,0.5742906659431138,0.0123520108840821,3.0,0.7171533852342017,0.519354447661203,4.0,0.6128501241916736,0.077276065308585,3.0,0.6568044403851626,0.5025702764530042,4.0,0.2483816581553155,0.8316752511045388,4.0
13,13,ABP140,210.33333333333331,24.583192089989723,3.0,0.3119262722243524,0.053286418616736,4.0,207.25,112.06359801469878,4.0,0.539003323939512,0.0018883573066192,3.0,-0.8026854687938425,1.4895396889703572,4.0,-0.6052166774709573,0.9044239020143302,4.0,-0.486940568810965,1.502399293289329,4.0,0.3161907213362525,0.042120901911904,3.0
14,14,ABZ1,254.0,40.718546143004666,4.0,0.3793090073879156,0.0621066379387227,4.0,299.25,62.13091018164791,4.0,0.5527850661736358,0.0350767126829793,4.0,0.6102296770794923,0.60469334625128,4.0,0.2947017561156804,0.872309166264769,4.0,0.8111360688951141,0.7563678517022514,4.0,0.4496171307018605,0.6223522748778982,4.0
15,15,ABZ2,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
16,16,ACA1,251.0,30.58321979997092,4.0,0.4163214537814605,0.0110554224275144,3.0,265.75,32.13902093509799,4.0,0.5773971484204035,0.0037682603139217,3.0,0.5755002492428383,0.4853619396866646,4.0,0.6395000039093616,0.1722513152641794,3.0,0.5446087019982192,0.4572211867566493,4.0,0.6727702678788758,0.0619111217312002,3.0
17,17,ACB1,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
18,18,ACE2,249.25,53.67417131793156,4.0,0.4236574766924185,0.0146492215891987,4.0,298.5,79.13069358135732,4.0,0.5848050481980789,0.0115311827304706,4.0,0.1205431752303253,0.4577014282446998,4.0,0.8683024669795906,0.4816453573783966,4.0,0.1435666286164876,0.4491533021800774,4.0,0.8612392779603122,0.2823058363321205,4.0
19,19,ACF2,271.0,16.832508230603466,4.0,0.34763018689636,0.0247858318101876,4.0,317.0,31.05908348078975,4.0,0.5462045743068487,0.0092990472022258,4.0,0.481294400031223,0.3161636302214604,4.0,-0.2240573781712048,0.3225360246270997,4.0,0.42489870375051,0.2583524538031708,4.0,0.2534144274506948,0.1696000338907282,4.0
20,20,ACF4,195.0,39.15354390090378,3.0,0.3750597150269796,0.0500413623546297,3.0,,,0.0,0.5562306171718667,0.0201291809960545,3.0,-0.3139251847553151,0.6225446585037979,3.0,0.068932795266784,0.6774199877674486,3.0,,,0.0,0.3524482511077915,0.2881405770871891,3.0
21,21,ACH1,196.0,9.763879010584535,4.0,0.3799465411757907,0.0035045262681991,3.0,227.5,11.150485789118484,4.0,0.5451275732994953,0.011662617045524,4.0,-0.180058357719289,0.1213103938473793,4.0,0.2508428343120932,0.4541382771349768,4.0,-0.0858376321757877,0.0187530029962074,3.0,0.3839094436462796,0.1137130822582387,4.0
22,22,ACK1,209.5,22.41279396535232,4.0,0.4010411007160745,0.0164421390331869,4.0,223.25,27.42717630380496,4.0,0.5649036098824716,0.0104800134718362,4.0,-0.1241038154090392,0.3759058521185022,4.0,0.3981965519354862,0.2525871522839842,4.0,-0.1145111952829003,0.4046794424366741,4.0,0.480578289787575,0.146802769056558,4.0
