,Unnamed: 0,gene,area_mean,area_std,area_count,mean_intensity_mean,mean_intensity_std,mean_intensity_count,area.24_mean,area.24_std,area.24_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,corrected_area_mean,corrected_area_std,corrected_area_count,corrected_mean_intensity_mean,corrected_mean_intensity_std,corrected_mean_intensity_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,area_Z_mean,area_Z_std,area_Z_count,mean_intensity_Z_mean,mean_intensity_Z_std,mean_intensity_Z_count,area.24_Z_mean,area.24_Z_std,area.24_Z_count,mean_intensity.24_Z_mean,mean_intensity.24_Z_std,mean_intensity.24_Z_count,corrected_area_Z_mean,corrected_area_Z_std,corrected_area_Z_count,corrected_mean_intensity_Z_mean,corrected_mean_intensity_Z_std,corrected_mean_intensity_Z_count,corrected_area.24_Z_mean,corrected_area.24_Z_std,corrected_area.24_Z_count,corrected_mean_intensity.24_Z_mean,corrected_mean_intensity.24_Z_std,corrected_mean_intensity.24_Z_count
0,0,0,291.7058823529412,197.8230790080755,17.0,0.4138435890956505,0.0900782054320097,17.0,291.7058823529412,197.8230790080755,17.0,0.4138435890956505,0.0900782054320097,17.0,-0.2110952884135919,2.268996410163993,16.0,-0.8757367779165008,1.571085955572337,16.0,-0.2110952884135919,2.268996410163993,16.0,-0.8757367779165008,1.571085955572337,16.0,-1.0449157878825004e-16,1.0,17.0,-1.2081838797391408e-16,1.0,17.0,-1.0449157878825004e-16,1.0,17.0,-1.2081838797391408e-16,1.0,17.0,6.938893903907228e-18,1.0,16.0,-6.245004513516506e-17,1.0,16.0,6.938893903907228e-18,1.0,16.0,-6.245004513516506e-17,1.0,16.0
1,1,AAC1,240.5,35.874782229304195,4.0,0.4543818831957767,0.0224029929224492,4.0,240.5,35.874782229304195,4.0,0.4543818831957767,0.0224029929224492,4.0,0.4629317480996848,0.581290252394299,4.0,0.0888059594140521,0.6157767866479625,4.0,0.4629317480996848,0.581290252394299,4.0,0.0888059594140521,0.6157767866479625,4.0,-2.775557561562892e-17,1.0,4.0,-6.661338147750939e-16,1.0,4.0,-2.775557561562892e-17,1.0,4.0,-6.661338147750939e-16,1.0,4.0,-4.163336342344337e-17,1.0,4.0,0.0,1.0,4.0,-4.163336342344337e-17,1.0,4.0,0.0,1.0,4.0
2,2,AAC3,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3,3,AAD3,216.5,12.609520212918492,4.0,0.4557077192742773,0.0215940844773008,4.0,216.5,12.609520212918492,4.0,0.4557077192742773,0.0215940844773008,4.0,0.0700499714917921,0.2318768066440903,4.0,-0.072267671643193,0.3740533991407869,4.0,0.0700499714917921,0.2318768066440903,4.0,-0.072267671643193,0.3740533991407869,4.0,0.0,1.0,4.0,6.522560269672796e-16,1.0,4.0,0.0,1.0,4.0,6.522560269672796e-16,1.0,4.0,2.775557561562892e-17,1.0,4.0,-4.163336342344337e-17,1.0,4.0,2.775557561562892e-17,1.0,4.0,-4.163336342344337e-17,1.0,4.0
4,4,AAD4,196.0,5.5677643628300215,3.0,0.482124730391299,0.0209709393892419,3.0,196.0,5.5677643628300215,3.0,0.482124730391299,0.0209709393892419,3.0,-0.3069250803689363,0.1023857687524957,3.0,0.3853286119060826,0.3632592606538641,3.0,-0.3069250803689363,0.1023857687524957,3.0,0.3853286119060826,0.3632592606538641,3.0,0.0,1.0,3.0,-8.696747026230394e-16,1.0,3.0,0.0,1.0,3.0,-8.696747026230394e-16,1.0,3.0,-2.96059473233375e-16,1.0,3.0,1.8503717077085938e-17,1.0,3.0,-2.96059473233375e-16,1.0,3.0,1.8503717077085938e-17,1.0,3.0
5,5,AAD6,229.75,18.463928798245156,4.0,0.4562821580845955,0.0229584983363811,4.0,229.75,18.463928798245156,4.0,0.4562821580845955,0.0229584983363811,4.0,0.3137045781822629,0.3395336837205495,4.0,-0.0623172248055978,0.3976878182040391,4.0,0.3137045781822629,0.3395336837205495,4.0,-0.0623172248055978,0.3976878182040391,4.0,-2.775557561562892e-17,1.0,4.0,0.0,1.0,4.0,-2.775557561562892e-17,1.0,4.0,0.0,1.0,4.0,-1.6653345369377348e-16,1.0,4.0,-2.775557561562892e-17,1.0,4.0,-1.6653345369377348e-16,1.0,4.0,-2.775557561562892e-17,1.0,4.0
6,6,AAH1,229.0,86.0,3.0,0.4494182882329897,0.0360956844203123,3.0,229.0,86.0,3.0,0.4494182882329897,0.0360956844203123,3.0,0.0261042739756284,1.3546679975673237,3.0,-0.0857220667218216,0.4286853017807345,3.0,0.0261042739756284,1.3546679975673237,3.0,-0.0857220667218216,0.4286853017807345,3.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,3.0,-1.8503717077085938e-17,1.0,3.0,0.0,1.0,3.0,-1.8503717077085938e-17,1.0,3.0,0.0,1.0,3.0
7,7,AAP1,201.75,32.06633748964793,4.0,0.3520968606514008,0.0693591407195959,4.0,201.75,32.06633748964793,4.0,0.3520968606514008,0.0693591407195959,4.0,-0.4556931615788898,0.6049201924823073,4.0,-1.735470116174374,1.237440189194275,4.0,-0.4556931615788898,0.6049201924823073,4.0,-1.735470116174374,1.237440189194275,4.0,-2.775557561562892e-17,1.0,4.0,-2.220446049250313e-16,1.0,4.0,-2.775557561562892e-17,1.0,4.0,-2.220446049250313e-16,1.0,4.0,2.4286128663675302e-17,1.0,4.0,-2.775557561562892e-17,1.0,4.0,2.4286128663675302e-17,1.0,4.0,-2.775557561562892e-17,1.0,4.0
8,8,AAT1,192.33333333333331,20.550750189064463,3.0,0.5068524711463632,0.0168402491552707,3.0,192.33333333333331,20.550750189064463,3.0,0.5068524711463632,0.0168402491552707,3.0,-0.5634755973284918,0.3593917500373588,3.0,1.1664971143060774,0.2038436420414001,3.0,-0.5634755973284918,0.3593917500373588,3.0,1.1664971143060774,0.2038436420414001,3.0,4.440892098500626e-16,1.0,3.0,2.1464311809419688e-15,1.0,3.0,4.440892098500626e-16,1.0,3.0,2.1464311809419688e-15,1.0,3.0,7.401486830834377e-17,1.0,3.0,0.0,1.0,3.0,7.401486830834377e-17,1.0,3.0,0.0,1.0,3.0
9,9,AAT2,252.75,29.82588361362214,4.0,0.4865836455563635,0.006658955857748,3.0,252.75,29.82588361362214,4.0,0.4865836455563635,0.006658955857748,3.0,0.7366521973430803,0.5484689766847441,4.0,0.4625660782930459,0.1153466393047312,3.0,0.7366521973430803,0.5484689766847441,4.0,0.4625660782930459,0.1153466393047312,3.0,0.0,1.0,4.0,-4.163336342344337e-16,1.0,4.0,0.0,1.0,4.0,-4.163336342344337e-16,1.0,4.0,0.0,1.0,4.0,5.551115123125783e-17,1.0,4.0,0.0,1.0,4.0,5.551115123125783e-17,1.0,4.0
