,Unnamed: 0,gene,area.24_mean,area.24_std,area.24_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.48_mean,area.48_std,area.48_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count
0,0,0,361.0625,102.16369973015458,48.0,0.3588340532207261,0.1151370565068544,48.0,353.1521739130435,117.4750975769956,46.0,0.5079395367513598,0.051549938481771,46.0,0.2747646894745253,0.9948230069844556,48.0,-0.0064108531790961,1.042845089874803,48.0,0.2163464294746073,1.2108824892579273,46.0,-0.2398986875499551,1.4953573530685147,46.0
1,1,AAC1,325.75,36.890604043125485,4.0,0.4086775340354747,0.016011981499684,3.0,328.5,33.60059523282289,4.0,0.538945469089956,0.005584687354361,4.0,0.4137754524539493,0.6042577279882838,4.0,0.5073642763261835,0.1577232387281061,3.0,0.4389857478112625,0.4454441787610576,4.0,0.8878536042315515,0.1250146694359239,4.0
2,2,AAC3,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3,3,AAD3,260.5,29.580398915498087,4.0,0.3672585939218761,0.015114473154397,3.0,255.25,35.19824806246281,4.0,0.4834582398228877,0.0152002838243752,4.0,-0.5428095607431637,0.3952482914753701,4.0,0.1331546669149216,0.1395982578267124,3.0,-0.5088638356691084,0.4534761746639161,4.0,-0.7913859426927612,0.4521326515672853,4.0
4,4,AAD4,310.75,58.96538532619512,4.0,0.3924138768196876,0.0128732569571968,4.0,306.0,52.7825728815866,4.0,0.5353595147537653,0.0111196096399263,4.0,0.1286224474381539,0.7878855140846246,4.0,0.3654904970692789,0.1188982391528137,4.0,0.1449731343798909,0.6800235965376761,4.0,0.7524181944766848,0.3307529417859189,4.0
5,5,AAD6,326.75,42.50000000000001,4.0,0.3697448700330306,0.0288598610466623,4.0,324.75,42.69562819149833,4.0,0.5188966747907493,0.0211467385791296,4.0,0.3424117435754889,0.567877817864796,4.0,0.1561180749045923,0.2665515550611851,4.0,0.3865385174029203,0.5500685747993675,4.0,0.2627307931881612,0.6290100300923211,4.0
6,6,AAH1,311.25,26.209095113465214,4.0,0.3619767280786478,0.0126154452020989,4.0,320.5,25.15949125081825,4.0,0.5033613434806413,0.0089013332802269,4.0,0.0764277441224015,0.2051678969589099,4.0,0.0078382364401163,0.0924984387840091,4.0,0.1501204180538369,0.0447762531094612,3.0,-0.2321622706456137,0.3594613587637131,4.0
7,7,AAP1,322.0,20.46134567096374,4.0,0.395727834061287,0.0075986835695483,4.0,348.0,26.620793877468543,4.0,0.5197837332215249,0.0039048492996267,4.0,0.3344233960911213,0.3842220968799928,4.0,0.3106138539947023,0.0982094557270808,4.0,0.6484114289147554,0.0893006987880253,3.0,0.2705404834765973,0.25441958753935,4.0
8,8,AAT1,294.25,23.343450187722183,4.0,0.3978048246409018,0.0010665689692588,3.0,292.25,31.447045436203805,4.0,0.5107461916813723,0.0106466858615313,4.0,-0.08847461440402,0.1734025402944065,4.0,0.2838727108593423,0.0603988195141985,4.0,-0.2449782660505761,0.2245389951602792,4.0,-0.0426897619636709,0.2291755289672081,4.0
9,9,AAT2,263.5,22.17355782608344,4.0,0.3600682264211808,0.0031100565465148,4.0,254.0,18.88562063228706,4.0,0.485911831461868,0.014156144034367,4.0,-0.5027240677174133,0.2962793325311798,4.0,0.0667439646709687,0.0287246846913572,4.0,-0.5249681945373104,0.2433126496888559,4.0,-0.7184038256209391,0.4210746991423268,4.0
