,Unnamed: 0,gene,area.24_mean,area.24_std,area.24_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.48_mean,area.48_std,area.48_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count
0,0,0,232.22222222222223,74.66675420162936,18.0,0.3264727905011755,0.0437546595436103,18.0,269.44444444444446,94.39293481924824,18.0,0.5032094848731422,0.0364368440464306,18.0,-0.2187260348509277,0.9321279923668117,17.0,-0.1213813288837776,0.8334953235563485,17.0,-0.1257367702540555,1.0540996464366506,17.0,0.094996584164725,0.7735958009637186,17.0
1,1,AAC1,220.25,49.78872027544659,4.0,0.3663939134081937,0.0212328622688684,4.0,227.0,47.22287581247038,4.0,0.5264594817908889,0.015966891461928,4.0,-0.0252868299442069,0.6803721329553222,4.0,0.820512479912497,0.555082317498025,4.0,-0.0414620153896976,0.6316641876229289,4.0,0.7027133800266201,0.4601463874186622,4.0
2,2,AAC3,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
3,3,AAD3,208.66666666666663,7.50555349946513,3.0,0.3329445010240731,0.0357509113797584,4.0,218.33333333333331,4.93288286231625,3.0,0.501090338825343,0.0235915397140106,4.0,-0.2909631091335334,0.0987786284059448,3.0,-0.0867060904174706,0.7402604002555562,4.0,-0.2053091218825675,0.0642254655405882,3.0,0.0299819816490176,0.5344788644349456,4.0
4,4,AAD4,208.5,51.5525621736366,4.0,0.335577392634808,0.0224586953519268,4.0,217.0,48.95576234384127,4.0,0.5217197625022354,0.0127143785447496,4.0,-0.2931565655835471,0.6784698000869501,4.0,-0.0321892872823314,0.4650310207154035,4.0,-0.222668940966921,0.6373973830692661,4.0,0.4973525337382746,0.2880510000183669,4.0
5,5,AAD6,286.75,144.28068708828172,4.0,0.3251706992102834,0.0197698867036907,4.0,292.75,140.7015162202123,4.0,0.5006417381962563,0.0303532283917149,4.0,0.7366712376978504,1.898840422237136,4.0,-0.2476708720157806,0.4093563962279043,4.0,0.7635857807629097,1.831914649857832,4.0,0.0198186960930232,0.6876685133486076,4.0
6,6,AAH1,191.5,21.97726097583591,4.0,0.3153065997814256,0.0347482402365935,4.0,214.25,13.671747023210552,4.0,0.4971481699817247,0.0148092425727576,4.0,-0.2374026991846751,0.3279593150195221,4.0,-0.2893005332130875,0.8551209729733046,4.0,-0.1702348532920305,0.2065878949478924,4.0,0.0713640743096311,0.4530846756061731,4.0
7,7,AAP1,217.75,9.84462628374824,4.0,0.3330477710351348,0.0178478626308032,4.0,236.5,12.609520212918492,4.0,0.5080404181408699,0.0124883731335272,4.0,0.1861201808173596,0.3087171161124713,4.0,0.2319432774251627,0.2300926736652142,4.0,0.1579041715690395,0.3522742452642867,4.0,0.3383910559497416,0.2496189551153602,4.0
8,8,AAT1,247.5,66.23946457110495,4.0,0.3474298838122359,0.0251025413783831,4.0,262.25,70.22997935354958,4.0,0.5169291969610761,0.0249036738102693,4.0,0.5520766034664404,0.881858813800878,4.0,0.5504820855722969,0.411116514803194,4.0,0.4747182407171795,0.8435695702275554,4.0,0.6319619156944614,0.558200725992828,4.0
9,9,AAT2,204.25,40.11130347753195,4.0,0.2946831898230432,0.0385299263969923,4.0,207.25,43.32339629653551,4.0,0.4914105773655581,0.0145553387605456,3.0,-0.3490897050588946,0.5278943839874787,4.0,-0.878946971862888,0.797802842939649,4.0,-0.3496126180212556,0.5640647413707037,4.0,-0.1893181562709559,0.3297589316555822,3.0
