,gene,plate,row,column,area.24,mean_intensity.24,area.48,mean_intensity.48
269,ScBTX021,0,11,5,1558.0,0.48882406551983765,1559.0,0.6651932693277767
270,ScBTX020,0,11,6,1707.0,0.37061257300509687,1738.0,0.1269628746656507
271,ScBTX020,0,11,7,1564.0,0.3767026379610838,1595.0,0.12474515494849221
272,ScBTX021,0,11,8,1559.0,0.505138593268367,1580.0,0.6726747328162832
273,ScBTX021,0,11,9,1563.0,0.510291296460746,1572.0,0.6747787631757627
274,ScBTX020,0,11,10,1674.0,0.33866629784342805,1699.0,0.14115328716556597
275,ScBTX020,0,11,11,1656.0,0.34341026584047446,1692.0,0.14387004453468702
276,ScBTX021,0,11,12,1618.0,0.5224996276111586,1608.0,0.6892363716788097
277,ScBTX021,0,11,13,1566.0,0.5218687314498794,1549.0,0.6851729911643362
278,ScBTX020,0,11,14,1674.0,0.33248494493513986,1680.0,0.16384293690552346
279,ScBTX020,0,11,15,1754.0,0.3290073580125176,1753.0,0.1758431832634185
280,ScBTX021,0,11,16,1605.0,0.5385873596638892,1574.0,0.700262784830854
281,ScBTX021,0,11,17,1658.0,0.5429596190252263,1649.0,0.7020866191851874
282,ScBTX020,0,11,18,1770.0,0.33024588044467373,1787.0,0.1860746216098835
283,ScBTX020,0,11,19,1697.0,0.34074051717667586,1711.0,0.2025005134420319
284,ScBTX021,0,11,20,1588.0,0.535457440882185,1586.0,0.7039242377217971
285,ScBTX021,0,11,21,1534.0,0.538438078472254,1550.0,0.6912418004115843
286,ScBTX020,0,11,22,1875.0,0.3677282131700511,1951.0,0.1824349176233502
287,ScBTX020,0,11,23,2121.0,0.3697118647861438,2255.0,0.17174954841041576
288,ScBTX020,0,12,0,2310.0,0.4208029104211256,2443.0,0.12507346958610763
289,ScBTX020,0,12,1,1849.0,0.42723156412007074,1923.0,0.1142184043631904
290,ScBTX021,0,12,2,1551.0,0.47008556667025675,1575.0,0.6575684870427269
291,ScBTX021,0,12,3,1561.0,0.47710904483135236,1589.0,0.6583167765044973
292,ScBTX020,0,12,4,1794.0,0.39205373263687915,1852.0,0.13206392545437473
293,ScBTX020,0,12,5,1809.0,0.39530708494337236,1830.0,0.13491009008664262
294,ScBTX021,0,12,6,1616.0,0.49032417703120773,1643.0,0.6646812967850282
295,ScBTX021,0,12,7,1642.0,0.4935904612793227,1648.0,0.6664971415582013
296,ScBTX020,0,12,8,1897.0,0.3552368636088966,1935.0,0.14793414375067457
297,ScBTX020,0,12,9,1807.0,0.3504523282442822,1819.0,0.15179208596133734
298,ScBTX021,0,12,10,1637.0,0.5107416890069643,1649.0,0.6737255166551689
299,ScBTX021,0,12,11,1673.0,0.5157098031637687,1649.0,0.6820826681066512
300,ScBTX020,0,12,12,1762.0,0.3365616385197132,1761.0,0.16244903598118385
301,ScBTX020,0,12,13,1708.0,0.331265882487909,1732.0,0.18459953358186232
302,ScBTX021,0,12,14,1645.0,0.524969346359718,1625.0,0.6911863400180133
303,ScBTX021,0,12,15,1685.0,0.524161429392414,1657.0,0.6837266080628053
304,ScBTX020,0,12,16,1781.0,0.3502493945291771,1791.0,0.17259787033481902
305,ScBTX020,0,12,17,1793.0,0.33580938839350666,1809.0,0.19110664790653906
306,ScBTX021,0,12,18,1602.0,0.5313582570634797,1581.0,0.6940468244781708
307,ScBTX021,0,12,19,1645.0,0.5270180265154975,1607.0,0.6949998810868243
308,ScBTX020,0,12,20,1727.0,0.3570927866507338,1766.0,0.18186534671629448
309,ScBTX020,0,12,21,1852.0,0.3514051446805891,1871.0,0.21645978795346474
310,ScBTX021,0,12,22,1662.0,0.5267829130500934,1713.0,0.6955886245147539
311,ScBTX021,0,12,23,1827.0,0.5120783667540559,1902.0,0.6978176795050767
312,ScBTX020,0,13,0,2284.0,0.4179916375693673,2429.0,0.12228650009712383
313,ScBTX020,0,13,1,1878.0,0.4221642768987873,1970.0,0.12030765540519402
314,ScBTX021,0,13,2,1627.0,0.45301702701033497,1635.0,0.6518997930933416
315,ScBTX021,0,13,3,1604.0,0.4652176030389851,1640.0,0.6601564184022803
316,ScBTX020,0,13,4,1761.0,0.39448015799764,1814.0,0.14103807636218285
317,ScBTX020,0,13,5,1825.0,0.3996215380449705,1865.0,0.12058688327914799
318,ScBTX021,0,13,6,1674.0,0.48160219201358845,1719.0,0.6634618420457982
319,ScBTX021,0,13,7,1674.0,0.47434221116813174,1691.0,0.6626159566284353
320,ScBTX020,0,13,8,1892.0,0.3799604314349006,1942.0,0.13495641595681712
321,ScBTX020,0,13,9,1875.0,0.36142040287039234,1927.0,0.11835071402386504
322,ScBTX021,0,13,10,1714.0,0.49558875211941894,1726.0,0.6741999511767032
323,ScBTX021,0,13,11,1723.0,0.5051265738495119,1723.0,0.6798340825274588
324,ScBTX020,0,13,12,1861.0,0.3537172171921079,1895.0,0.15566357899127606
325,ScBTX020,0,13,13,1867.0,0.3452716416255541,1897.0,0.15859333235434864
326,ScBTX021,0,13,14,1749.0,0.5172464188278102,1739.0,0.6809567295373947
327,ScBTX021,0,13,15,1757.0,0.5229269831368147,1779.0,0.6849559970239434
328,ScBTX020,0,13,16,1794.0,0.3546387044189604,1831.0,0.16188543578437367
329,ScBTX020,0,13,17,1801.0,0.3525988607971124,1843.0,0.17062208105857757
330,ScBTX021,0,13,18,1675.0,0.5210247728887385,1657.0,0.685128766208192
331,ScBTX021,0,13,19,1650.0,0.5132157918586949,1643.0,0.6868917686951594
332,ScBTX020,0,13,20,1895.0,0.373154644356274,1940.0,0.18367881381449008
333,ScBTX020,0,13,21,1819.0,0.3773631170310092,1882.0,0.1727195222101067
334,ScBTX021,0,13,22,1645.0,0.517652847158023,1687.0,0.6881613148340064
335,ScBTX021,0,13,23,1800.0,0.4871380554637273,1858.0,0.6871970495816593
336,ScBTX021,0,14,0,2081.0,0.45289747309318507,2155.0,0.6768246416398574
337,ScBTX021,0,14,1,1827.0,0.45993500443553187,1887.0,0.6730250310894565
338,ScBTX020,0,14,2,1859.0,0.4176484368977843,1965.0,0.13650033820946753
339,ScBTX020,0,14,3,1903.0,0.40255953190771154,2003.0,0.13846186886656497
340,ScBTX021,0,14,4,1760.0,0.46217597843173425,1799.0,0.6622310063934824
341,ScBTX021,0,14,5,1805.0,0.47318596337280877,1844.0,0.6713451777451146
342,ScBTX020,0,14,6,2003.0,0.3927001427786739,2086.0,0.127113277451162
343,ScBTX020,0,14,7,1930.0,0.38476447377514544,2016.0,0.13886305591271714
344,ScBTX021,0,14,8,1782.0,0.4692678197182981,1840.0,0.667481016903843
345,ScBTX021,0,14,9,1749.0,0.47024928201930954,1793.0,0.6678272399107045
346,ScBTX020,0,14,10,2065.0,0.3560211924965834,2116.0,0.15625122283155413
347,ScBTX020,0,14,11,2019.0,0.3538972025195358,2099.0,0.15737488594373464
348,ScBTX021,0,14,12,1854.0,0.49021830200536676,1908.0,0.6825832450371959
349,ScBTX021,0,14,13,1883.0,0.5050183624366115,1915.0,0.689334365888125
350,ScBTX020,0,14,14,2151.0,0.3419834219782456,2219.0,0.17372647711767397
351,ScBTX020,0,14,15,2046.0,0.3476253684850581,2084.0,0.17036337536952187
352,ScBTX021,0,14,16,1800.0,0.5087200836171909,1852.0,0.6869730147568949
353,ScBTX021,0,14,17,1799.0,0.5006810835949378,1813.0,0.6845508505972189
354,ScBTX020,0,14,18,2046.0,0.3614397267238422,2102.0,0.16869985806943574
355,ScBTX020,0,14,19,2000.0,0.3615040464713924,2066.0,0.18385560522380803
356,ScBTX021,0,14,20,1707.0,0.5023889513840583,1722.0,0.6874129604954557
357,ScBTX021,0,14,21,1693.0,0.5069122332488081,1742.0,0.6887475001800003
358,ScBTX020,0,14,22,1837.0,0.38839439068945636,1929.0,0.18043757410733535
359,ScBTX020,0,14,23,2191.0,0.37655725625792547,2288.0,0.1865413011395511
360,ScBTX021,0,15,0,2846.0,0.4698483335747256,2954.0,0.6869867708125266
361,ScBTX021,0,15,1,2182.0,0.4622654683718776,2280.0,0.6753930896245518
362,ScBTX020,0,15,2,2302.0,0.40634159722549246,2422.0,0.16612217134477986
363,ScBTX020,0,15,3,2326.0,0.4037301639429829,2447.0,0.15793464044926925
364,ScBTX021,0,15,4,2143.0,0.45264410319343473,2233.0,0.6761377866214128
365,ScBTX021,0,15,5,2138.0,0.4449678341220377,2238.0,0.6715115424902109
366,ScBTX020,0,15,6,2370.0,0.39287803059117443,2464.0,0.15220728879873066
367,ScBTX020,0,15,7,2290.0,0.38343820171182047,2402.0,0.16861029567261848
368,ScBTX021,0,15,8,2207.0,0.4493090789147923,2299.0,0.6749659348214427
369,ScBTX021,0,15,9,2206.0,0.469859917849791,2303.0,0.6822933822622644
