,1,2,3,4,5,6,7,8,9,10,11,12
A,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021
B,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020
C,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021
D,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020
E,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021
F,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020
G,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021
H,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020,ScBTX021,ScBTX020
